#OTU	ID	taxonomy
163	1.0	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;microaerophilum
164	1.0	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;olivae
165	1.0	NA;NA;NA;NA;NA;NA
166	1.0	Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Acidipropionibacterium;virtanenii
167	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Acidisarcina;polymorpha
168	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma;cellulosilyticum
169	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma;sibiricum
170	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma;silvae
171	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisoma;tundrae
172	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidisphaera;rubrifaciens
173	1.0	NA;NA;NA;NA;NA;NA
174	1.0	NA;NA;NA;NA;NA;NA
175	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;albertensis
176	1.0	NA;NA;NA;NA;NA;NA
177	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;ferrianus
178	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;ferrooxidans
179	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;ferriphilus
180	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;ferrivorans
181	1.0	NA;NA;NA;NA;NA;NA
182	1.0	Pseudomonadota;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus;sulfuriphilus
183	1.0	NA;NA;NA;NA;NA;NA
184	1.0	NA;NA;NA;NA;NA;NA
185	1.0	Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Pseudacidobacterium;ailaaui
186	1.0	NA;NA;NA;NA;NA;NA
187	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella;aluminiidurans
188	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella;aminolytica
189	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella;aquatica
190	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella;aromatica
191	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidocella;facilis
192	1.0	Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidomonas;methanolica
193	1.0	Actinomycetota;Actinomycetes;Acidothermales;Acidothermaceae;Acidothermus;cellulolyticus
194	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paracidovorax;anthurii
195	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paracidovorax;avenae
196	1.0	NA;NA;NA;NA;NA;NA
197	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paenacidovorax;caeni
198	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;carolinensis
199	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paracidovorax;cattleyae
200	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paracidovorax;citrulli
201	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;defluvii
202	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;delafieldii
203	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;facilis
204	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;kalamii
205	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paracidovorax;konjaci
206	1.0	NA;NA;NA;NA;NA;NA
207	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paenacidovorax;monticola
208	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paracidovorax;oryzae
209	1.0	NA;NA;NA;NA;NA;NA
210	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;soli
211	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax;temperans
212	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paracidovorax;valerianellae
213	1.0	Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Paracidovorax;wautersii
214	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;albensis
215	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;amyesii
216	1.0	NA;NA;NA;NA;NA;NA
217	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;baretiae
218	1.0	NA;NA;NA;NA;NA;NA
219	1.0	NA;NA;NA;NA;NA;NA
220	1.0	Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;beijerinckii
