"tip_label","tip_node","parent_node","child_node"
"2565956532",13,3836,3837
"2565956532",13,3835,3836
"2565956532",13,3834,3835
"2565956532",13,3833,3834
"2565956532",13,3832,3833
"2565956532",13,3831,3832
"2565956532",13,3830,3831
"2565956532",13,3829,3830
"2565956532",13,3828,3829
"2565956532",13,3827,3828
"2565956532",13,3826,3827
"2565956532",13,3825,3826
"2565956532",13,3824,3825
"2565956532",13,3823,3824
"2561511077",14,3868,14
"2561511077",14,3867,3868
"2561511077",14,3864,3867
"2561511077",14,3863,3864
"2561511077",14,3862,3863
"2561511077",14,3861,3862
"2561511077",14,3852,3861
"2561511077",14,3851,3852
"2561511077",14,3850,3851
"2561511077",14,3849,3850
"2561511077",14,3848,3849
"2561511077",14,3847,3848
"2561511077",14,3846,3847
"2561511077",14,3845,3846
"2561511077",14,3844,3845
"2561511077",14,3843,3844
"2561511077",14,3842,3843
"2561511077",14,3841,3842
"2561511077",14,3840,3841
"2561511077",14,3839,3840
"2561511077",14,3838,3839
"2561511077",14,3837,3838
"2561511077",14,3836,3837
"2561511077",14,3835,3836
"2561511077",14,3834,3835
"2561511077",14,3833,3834
"2561511077",14,3832,3833
"2561511077",14,3831,3832
"2561511077",14,3830,3831
"2561511077",14,3829,3830
"2561511077",14,3828,3829
"2561511077",14,3827,3828
"2561511077",14,3826,3827
"2561511077",14,3825,3826
"2561511077",14,3824,3825
"2561511077",14,3823,3824
"2630968951",15,3868,15
"2630968951",15,3867,3868
"2630968951",15,3864,3867
"2630968951",15,3863,3864
"2630968951",15,3862,3863
"2630968951",15,3861,3862
"2630968951",15,3852,3861
"2630968951",15,3851,3852
"2630968951",15,3850,3851
"2630968951",15,3849,3850
"2630968951",15,3848,3849
"2630968951",15,3847,3848
"2630968951",15,3846,3847
"2630968951",15,3845,3846
"2630968951",15,3844,3845
"2630968951",15,3843,3844
"2630968951",15,3842,3843
"2630968951",15,3841,3842
"2630968951",15,3840,3841
"2630968951",15,3839,3840
"2630968951",15,3838,3839
"2630968951",15,3837,3838
"2630968951",15,3836,3837
"2630968951",15,3835,3836
"2630968951",15,3834,3835
"2630968951",15,3833,3834
"2630968951",15,3832,3833
"2630968951",15,3831,3832
"2630968951",15,3830,3831
"2630968951",15,3829,3830
"2630968951",15,3828,3829
"2630968951",15,3827,3828
"2630968951",15,3826,3827
"2630968951",15,3825,3826
"2630968951",15,3824,3825
"2630968951",15,3823,3824
"2563366546",16,3869,16
"2563366546",16,3867,3869
"2563366546",16,3864,3867
"2563366546",16,3863,3864
"2563366546",16,3862,3863
"2563366546",16,3861,3862
"2563366546",16,3852,3861
"2563366546",16,3851,3852
"2563366546",16,3850,3851
"2563366546",16,3849,3850
"2563366546",16,3848,3849
"2563366546",16,3847,3848
"2563366546",16,3846,3847
"2563366546",16,3845,3846
"2563366546",16,3844,3845
"2563366546",16,3843,3844
"2563366546",16,3842,3843
"2563366546",16,3841,3842
"2563366546",16,3840,3841
"2563366546",16,3839,3840
"2563366546",16,3838,3839
"2563366546",16,3837,3838
"2563366546",16,3836,3837
"2563366546",16,3835,3836
"2563366546",16,3834,3835
"2563366546",16,3833,3834
"2563366546",16,3832,3833
"2563366546",16,3831,3832
"2563366546",16,3830,3831
"2563366546",16,3829,3830
"2563366546",16,3828,3829
"2563366546",16,3827,3828
"2563366546",16,3826,3827
"2563366546",16,3825,3826
"2563366546",16,3824,3825
"2563366546",16,3823,3824
"650377959",17,3870,17
"650377959",17,3869,3870
"650377959",17,3867,3869
"650377959",17,3864,3867
"650377959",17,3863,3864
"650377959",17,3862,3863
"650377959",17,3861,3862
"650377959",17,3852,3861
"650377959",17,3851,3852
"650377959",17,3850,3851
"650377959",17,3849,3850
"650377959",17,3848,3849
"650377959",17,3847,3848
"650377959",17,3846,3847
"650377959",17,3845,3846
"650377959",17,3844,3845
"650377959",17,3843,3844
"650377959",17,3842,3843
"650377959",17,3841,3842
"650377959",17,3840,3841
"650377959",17,3839,3840
"650377959",17,3838,3839
"650377959",17,3837,3838
"650377959",17,3836,3837
"650377959",17,3835,3836
"650377959",17,3834,3835
"650377959",17,3833,3834
"650377959",17,3832,3833
"650377959",17,3831,3832
"650377959",17,3830,3831
"650377959",17,3829,3830
"650377959",17,3828,3829
"650377959",17,3827,3828
"650377959",17,3826,3827
"650377959",17,3825,3826
"650377959",17,3824,3825
"650377959",17,3823,3824
"2556921631",18,3871,18
"2556921631",18,3870,3871
"2556921631",18,3869,3870
"2556921631",18,3867,3869
"2556921631",18,3864,3867
"2556921631",18,3863,3864
"2556921631",18,3862,3863
"2556921631",18,3861,3862
"2556921631",18,3852,3861
"2556921631",18,3851,3852
"2556921631",18,3850,3851
"2556921631",18,3849,3850
"2556921631",18,3848,3849
"2556921631",18,3847,3848
"2556921631",18,3846,3847
"2556921631",18,3845,3846
"2556921631",18,3844,3845
"2556921631",18,3843,3844
"2556921631",18,3842,3843
"2556921631",18,3841,3842
"2556921631",18,3840,3841
"2556921631",18,3839,3840
"2556921631",18,3838,3839
"2556921631",18,3837,3838
"2556921631",18,3836,3837
"2556921631",18,3835,3836
"2556921631",18,3834,3835
"2556921631",18,3833,3834
"2556921631",18,3832,3833
"2556921631",18,3831,3832
"2556921631",18,3830,3831
"2556921631",18,3829,3830
"2556921631",18,3828,3829
"2556921631",18,3827,3828
"2556921631",18,3826,3827
"2556921631",18,3825,3826
"2556921631",18,3824,3825
"2556921631",18,3823,3824
"649633071",19,3873,19
"649633071",19,3872,3873
"649633071",19,3871,3872
"649633071",19,3870,3871
"649633071",19,3869,3870
"649633071",19,3867,3869
"649633071",19,3864,3867
"649633071",19,3863,3864
"649633071",19,3862,3863
"649633071",19,3861,3862
"649633071",19,3852,3861
"649633071",19,3851,3852
"649633071",19,3850,3851
"649633071",19,3849,3850
"649633071",19,3848,3849
"649633071",19,3847,3848
"649633071",19,3846,3847
"649633071",19,3845,3846
"649633071",19,3844,3845
"649633071",19,3843,3844
"649633071",19,3842,3843
"649633071",19,3841,3842
"649633071",19,3840,3841
"649633071",19,3839,3840
"649633071",19,3838,3839
"649633071",19,3837,3838
"649633071",19,3836,3837
"649633071",19,3835,3836
"649633071",19,3834,3835
"649633071",19,3833,3834
"649633071",19,3832,3833
"649633071",19,3831,3832
"649633071",19,3830,3831
"649633071",19,3829,3830
"649633071",19,3828,3829
"649633071",19,3827,3828
"649633071",19,3826,3827
"649633071",19,3825,3826
"649633071",19,3824,3825
"649633071",19,3823,3824
"646564553",20,3873,20
"646564553",20,3872,3873
"646564553",20,3871,3872
"646564553",20,3870,3871
"646564553",20,3869,3870
"646564553",20,3867,3869
"646564553",20,3864,3867
"646564553",20,3863,3864
"646564553",20,3862,3863
"646564553",20,3861,3862
"646564553",20,3852,3861
"646564553",20,3851,3852
"646564553",20,3850,3851
"646564553",20,3849,3850
"646564553",20,3848,3849
"646564553",20,3847,3848
"646564553",20,3846,3847
"646564553",20,3845,3846
"646564553",20,3844,3845
"646564553",20,3843,3844
"646564553",20,3842,3843
"646564553",20,3841,3842
"646564553",20,3840,3841
"646564553",20,3839,3840
"646564553",20,3838,3839
"646564553",20,3837,3838
"646564553",20,3836,3837
"646564553",20,3835,3836
"646564553",20,3834,3835
"646564553",20,3833,3834
"646564553",20,3832,3833
"646564553",20,3831,3832
"646564553",20,3830,3831
"646564553",20,3829,3830
"646564553",20,3828,3829
"646564553",20,3827,3828
"646564553",20,3826,3827
"646564553",20,3825,3826
"646564553",20,3824,3825
"646564553",20,3823,3824
"2561511078",21,3872,21
"2561511078",21,3871,3872
"2561511078",21,3870,3871
"2561511078",21,3869,3870
"2561511078",21,3867,3869
"2561511078",21,3864,3867
"2561511078",21,3863,3864
"2561511078",21,3862,3863
"2561511078",21,3861,3862
"2561511078",21,3852,3861
"2561511078",21,3851,3852
"2561511078",21,3850,3851
"2561511078",21,3849,3850
"2561511078",21,3848,3849
"2561511078",21,3847,3848
"2561511078",21,3846,3847
"2561511078",21,3845,3846
"2561511078",21,3844,3845
"2561511078",21,3843,3844
"2561511078",21,3842,3843
"2561511078",21,3841,3842
"2561511078",21,3840,3841
"2561511078",21,3839,3840
"2561511078",21,3838,3839
"2561511078",21,3837,3838
"2561511078",21,3836,3837
"2561511078",21,3835,3836
"2561511078",21,3834,3835
"2561511078",21,3833,3834
"2561511078",21,3832,3833
"2561511078",21,3831,3832
"2561511078",21,3830,3831
"2561511078",21,3829,3830
"2561511078",21,3828,3829
"2561511078",21,3827,3828
"2561511078",21,3826,3827
"2561511078",21,3825,3826
"2561511078",21,3824,3825
"2561511078",21,3823,3824
"2512047064",22,3874,22
"2512047064",22,3863,3874
"2512047064",22,3862,3863
"2512047064",22,3861,3862
"2512047064",22,3852,3861
"2512047064",22,3851,3852
"2512047064",22,3850,3851
"2512047064",22,3849,3850
"2512047064",22,3848,3849
"2512047064",22,3847,3848
"2512047064",22,3846,3847
"2512047064",22,3845,3846
"2512047064",22,3844,3845
"2512047064",22,3843,3844
"2512047064",22,3842,3843
"2512047064",22,3841,3842
"2512047064",22,3840,3841
"2512047064",22,3839,3840
"2512047064",22,3838,3839
"2512047064",22,3837,3838
"2512047064",22,3836,3837
"2512047064",22,3835,3836
"2512047064",22,3834,3835
"2512047064",22,3833,3834
"2512047064",22,3832,3833
"2512047064",22,3831,3832
"2512047064",22,3830,3831
"2512047064",22,3829,3830
"2512047064",22,3828,3829
"2512047064",22,3827,3828
"2512047064",22,3826,3827
"2512047064",22,3825,3826
"2512047064",22,3824,3825
"2512047064",22,3823,3824
"647000282",23,3876,23
"647000282",23,3875,3876
"647000282",23,3874,3875
"647000282",23,3863,3874
"647000282",23,3862,3863
"647000282",23,3861,3862
"647000282",23,3852,3861
"647000282",23,3851,3852
"647000282",23,3850,3851
"647000282",23,3849,3850
"647000282",23,3848,3849
"647000282",23,3847,3848
"647000282",23,3846,3847
"647000282",23,3845,3846
"647000282",23,3844,3845
"647000282",23,3843,3844
"647000282",23,3842,3843
"647000282",23,3841,3842
"647000282",23,3840,3841
"647000282",23,3839,3840
"647000282",23,3838,3839
"647000282",23,3837,3838
"647000282",23,3836,3837
"647000282",23,3835,3836
"647000282",23,3834,3835
"647000282",23,3833,3834
"647000282",23,3832,3833
"647000282",23,3831,3832
"647000282",23,3830,3831
"647000282",23,3829,3830
"647000282",23,3828,3829
"647000282",23,3827,3828
"647000282",23,3826,3827
"647000282",23,3825,3826
"647000282",23,3824,3825
"647000282",23,3823,3824
"646564554",24,3876,24
"646564554",24,3875,3876
"646564554",24,3874,3875
"646564554",24,3863,3874
"646564554",24,3862,3863
"646564554",24,3861,3862
"646564554",24,3852,3861
"646564554",24,3851,3852
"646564554",24,3850,3851
"646564554",24,3849,3850
"646564554",24,3848,3849
"646564554",24,3847,3848
"646564554",24,3846,3847
"646564554",24,3845,3846
"646564554",24,3844,3845
"646564554",24,3843,3844
"646564554",24,3842,3843
"646564554",24,3841,3842
"646564554",24,3840,3841
"646564554",24,3839,3840
"646564554",24,3838,3839
"646564554",24,3837,3838
"646564554",24,3836,3837
"646564554",24,3835,3836
"646564554",24,3834,3835
"646564554",24,3833,3834
"646564554",24,3832,3833
"646564554",24,3831,3832
"646564554",24,3830,3831
"646564554",24,3829,3830
"646564554",24,3828,3829
"646564554",24,3827,3828
"646564554",24,3826,3827
"646564554",24,3825,3826
"646564554",24,3824,3825
"646564554",24,3823,3824
"2561511074",25,3879,25
"2561511074",25,3878,3879
"2561511074",25,3877,3878
"2561511074",25,3875,3877
"2561511074",25,3874,3875
"2561511074",25,3863,3874
"2561511074",25,3862,3863
"2561511074",25,3861,3862
"2561511074",25,3852,3861
"2561511074",25,3851,3852
"2561511074",25,3850,3851
"2561511074",25,3849,3850
"2561511074",25,3848,3849
"2561511074",25,3847,3848
"2561511074",25,3846,3847
"2561511074",25,3845,3846
"2561511074",25,3844,3845
"2561511074",25,3843,3844
"2561511074",25,3842,3843
"2561511074",25,3841,3842
"2561511074",25,3840,3841
"2561511074",25,3839,3840
"2561511074",25,3838,3839
"2561511074",25,3837,3838
"2561511074",25,3836,3837
"2561511074",25,3835,3836
